"id";"parent_id:id";"code";"name";"type";;;;"le";"description"
"kp_rrif_019";"kp_rrif_01";"019";"Akumulirana amortizacija nematerijalne imovine";"view";3;;;46;
"kp_rrif_0190";"kp_rrif_019";"0190";"Akumulirana amortizacija izdataka za razvoj";"view";4;;;43;
"kp_rrif_0191";"kp_rrif_019";"0191";"Akumulirana amortizacija koncesija, patenata, licencija i sl.";"view";4;;;61;
"kp_rrif_0192";"kp_rrif_019";"0192";"Akumulirana amort. robne i uslužne marke";"view";4;;;40;
"kp_rrif_0193";"kp_rrif_019";"0193";"Akumulirana amortizacija softwera";"view";4;;;33;
"kp_rrif_0194";"kp_rrif_019";"0194";"Akumulirana amortizacija godwilla (v. napom. 3.)";"view";4;;;48;
"kp_rrif_0195";"kp_rrif_019";"0195";"Akumulirana amort. ostale nematerijalne imovine";"view";4;;;47;
"kp_rrif_02";"kp_rrif_0";"02";"MATERIJALNA IMOVINA - NEKRETNINE";"view";2;;;32;
"kp_rrif_020";"kp_rrif_02";"020";"Zemljišta";"view";3;;;9;
"kp_rrif_0200";"kp_rrif_020";"0200";"Graðevinsko zemljište (bez zgrada)";"view";4;;;34;
"kp_rrif_0201";"kp_rrif_020";"0201";"Poljoprivredno zemljište";"view";4;;;24;
"kp_rrif_0202";"kp_rrif_020";"0202";"Zemljište za deponije smeæa i otpada";"view";4;;;36;
"kp_rrif_0203";"kp_rrif_020";"0203";"Zemljište za eksploataciju kamena, gline, šljunka i pijeska,";"view";4;;;60;
"kp_rrif_0204";"kp_rrif_020";"0204";"Zemljište sa supstancijalnom potrošnjom ili odlagališta";"view";4;;;55;
"kp_rrif_0205";"kp_rrif_020";"0205";"Zemljište pod prometnicama, dvorištima, parkiralištima i sl.";"view";4;;;60;
"kp_rrif_0206";"kp_rrif_020";"0206";"Zemljišta pod dugogodišnjim nasadama, parkovima, vrtovima i sl.";"view";4;;;63;
"kp_rrif_0207";"kp_rrif_020";"0207";"Èista neobraðena i nezasaðena zemljišta i kamenjari";"view";4;;;51;
"kp_rrif_0208";"kp_rrif_020";"0208";"Zemljišta ispod graðevina";"view";4;;;25;
"kp_rrif_0209";"kp_rrif_020";"0209";"Poboljšanja na zemljištu (ulaganja u odvodnjavanje, ureðivanje prilaza i sl.)";"view";4;;;77;
"kp_rrif_021";"kp_rrif_02";"021";"Zemljišna prava (višegodišnja)";"view";3;;;30;
"kp_rrif_0210";"kp_rrif_021";"0210";"Zemljište s upisanim pravom graðenja (unaprijed plaæena)";"view";4;;;56;
"kp_rrif_0211";"kp_rrif_021";"0211";"Pravo služnosti na zemljištu (unaprijed plaæena)";"view";4;;;48;
"kp_rrif_0212";"kp_rrif_021";"0212";"Zemljišta u zakupu (unaprijed plaæena)";"view";4;;;38;
"kp_rrif_023";"kp_rrif_02";"023";"Graðevinski objekti (za vlastite potrebe)";"view";3;;;41;
"kp_rrif_0230";"kp_rrif_023";"0230";"Poslovne zgrade";"view";4;;;15;
"kp_rrif_0231";"kp_rrif_023";"0231";"Tvornièke zgrade, hale i radionice";"view";4;;;34;
"kp_rrif_0232";"kp_rrif_023";"0232";"Zgrade trgovine, hotela, motela, restorana";"view";4;;;42;
"kp_rrif_0233";"kp_rrif_023";"0233";"Skladišta, silosi, nadstrešnice i garaže, staklenici, sušionice, hladnjaèe";"view";4;;;74;
