"code","name","note"
"1302","Potraživanja za dane novčane svote za nabave u gotovini (za tržišni nakup, za karnete i dr.)","Potraživanja za dane novčane svote za nabave u gotovini (za tržišni nakup, za karnete i dr.)"
"1303","Potraživanja za manjkove i učinjene štete (s PDV-om)","Potraživanja za manjkove i učinjene štete (s PDV-om)"
"1304","Potraživanja za prehranu, kazne, za korištenje odmarališta i sl.","Potraživanja za prehranu, kazne, za korištenje odmarališta i sl."
"1305","Potraživanja od zaposlenih za manje plaćene poreze i doprinose","Potraživanja od zaposlenih za manje plaćene poreze i doprinose"
"1306","Potraživanja od zaposlenika za plaćene privatne troškove (npr. po službenoj kred. kartici)","Potraživanja od zaposlenika za plaćene privatne troškove (npr. po službenoj kred. kartici)"
"1307","Potraživanja od zaposlenika za primitak u naravi","Potraživanja od zaposlenika za primitak u naravi"
"1309","Ostala potraživanja od zaposlenih","Ostala potraživanja od zaposlenih"
"133","Potraživanja od članova poduzetnika","Potraživanja od članova poduzetnika"
"1330","Potraživanja od članova društva za predujmljeni dobitak - dividendu","Potraživanja od članova društva za predujmljeni dobitak - dividendu"
"1331","Potraživanja od članova društva za privatne troškove","Potraživanja od članova društva za privatne troškove"
"1332","Potraživanja od članova ustanove","Potraživanja od članova ustanove"
"1333","Potraživanja od članova zadruge","Potraživanja od članova zadruge"
"134","Potraživanja u sporu i rizična potraživanja (iz skupine 12 i 13)","Potraživanja u sporu i rizična potraživanja (iz skupine 12 i 13)"
"135","Potraživanja za sredstva u slobodnoj zoni","Potraživanja za sredstva u slobodnoj zoni"
"136","Potraživanja od banaka za prodaju na potrošački kredit","Potraživanja od banaka za prodaju na potrošački kredit"
"137","Potraživanja od poslovnih jedinica u inozemstvu","Potraživanja od poslovnih jedinica u inozemstvu"
"1370","Potraživanja za isporučena dobra i usluge","Potraživanja za isporučena dobra i usluge"
"1371","Potraživanja za doznake novca, za dobitak i dr.","Potraživanja za doznake novca, za dobitak i dr."
"138","Ostala poslovna potraživanja","Ostala poslovna potraživanja"
"1380","Potraživanja za naknadne popuste","Potraživanja za naknadne popuste"
"1381","Potraživanja od ortaka","Potraživanja od ortaka"
"1382","Potraživanja od zastupnika","Potraživanja od zastupnika"
"1389","Ostala poslovna potraživanja","Ostala poslovna potraživanja"
"139","Vrijednosno usklađenje potraživanja od zaposlenih članova društva i ostalih potraživanja","Vrijednosno usklađenje potraživanja od zaposlenih članova društva i ostalih potraživanja"
"14","POTRAŽIVANJA OD DRŽAVE ZA POREZE, CARINU I DOPRINOSE","POTRAŽIVANJA OD DRŽAVE ZA POREZE, CARINU I DOPRINOSE"
"140","Porez na dodanu vrijednost","Porez na dodanu vrijednost"
"1400","Pretporez po ulaznim računima","Pretporez po ulaznim računima"
"14000","Pretporez - 10%","Pretporez - 10%"
"14001","Pretporez - 22%","Pretporez - 22%"
"14002","Pretporez - 23%","Pretporez - 23%"
"1401","Pretporez iz predujmova","Pretporez iz predujmova"
"14010","Pretporez iz predujmova -10%","Pretporez iz predujmova -10%"
"14011","Pretporez iz predujmova - 22%","Pretporez iz predujmova - 22%"
"14012","Pretporez iz predujmova - 23%","Pretporez iz predujmova - 23%"
"1402","Plaćeni PDV pri uvozu dobara","Plaćeni PDV pri uvozu dobara"
"14020","Plaćeni PDV pri uvozu dobara - 10%","Plaćeni PDV pri uvozu dobara - 10%"
"14021","Plaćeni PDV pri uvozu dobara - 22%","Plaćeni PDV pri uvozu dobara - 22%"
"14022","Plaćeni PDV pri uvozu dobara - 23%","Plaćeni PDV pri uvozu dobara - 23%"
"1403","Plaćeni PDV na usluge inozemnih poduzetnika","Plaćeni PDV na usluge inozemnih poduzetnika"
"14030","Plaćeni PDV na usluge inozemnih poduzetnika - 10%","Plaćeni PDV na usluge inozemnih poduzetnika - 10%"
"14031","Plaćeni PDV na usluge inozemnih poduzetnika - 22%","Plaćeni PDV na usluge inozemnih poduzetnika - 22%"
"14032","Plaćeni PDV na usluge inozemnih poduzetnika - 23%","Plaćeni PDV na usluge inozemnih poduzetnika - 23%"
"1404","Ispravci pretporeza zbog prenamjene dobara","Ispravci pretporeza zbog prenamjene dobara"
"14040","Ispravak pretporeza zbog promjene postotka priznavanja PDV-a","Ispravak pretporeza zbog promjene postotka priznavanja PDV-a"
"1406","Pretporez stečen po ugovoru o asignaciji ili iz preknjižavanja","Pretporez stečen po ugovoru o asignaciji ili iz preknjižavanja"
"1407","Potraživanja za razliku većeg pretporeza od obveze u obračunskom razdoblju","Potraživanja za razliku većeg pretporeza od obveze u obračunskom razdoblju"
"1408","Pretporez koji još nije priznan (uključivo i neplaćeni R-2)","Pretporez koji još nije priznan (uključivo i neplaćeni R-2)"
"1409","Potraživanja za više plaćeni PDV po konačnom obračunu","Potraživanja za više plaćeni PDV po konačnom obračunu"
"141","Potraživanja za porez i prirez na dohodak iz plaća i drugih primanja","Potraživanja za porez i prirez na dohodak iz plaća i drugih primanja"
"1410","Potraživanja za porez na dohodak iz plaća","Potraživanja za porez na dohodak iz plaća"
"1411","Potraživanja za prirez iz plaća","Potraživanja za prirez iz plaća"
"1412","Potraživanja za porez na dohodak iz autorskih prava, ugovora o djelu, članova nadz. odbora i dr.doh.","Potraživanja za porez na dohodak iz autorskih prava, ugovora o djelu, dohodaka članova nadzornog odbora i drugih dohodaka"
"1413","Potraživanja za porez i prirez na stipendije i nagrade učenika i studenta","Potraživanja za porez i prirez na stipendije i nagrade učenika i studenta"
"1414","Potraživanja za poreze iz drugih dohodaka","Potraživanja za poreze iz drugih dohodaka"
"1417","Potraživanja za više plaćeni porez na dohodak od kapitala","Potraživanja za više plaćeni porez na dohodak od kapitala"
"142","Potraživanja za više plaćene doprinose iz plaća i na plaće","Potraživanja za više plaćene doprinose iz plaća i na plaće"
"1420","Potraživanja za više plaćene doprinose za MO iz plaće","Potraživanja za više plaćene doprinose za MO iz plaće"
"1421","Potraživanja od MO za više plaćeni doprinos za beneficirani staž","Potraživanja od MO za više plaćeni doprinos za beneficirani staž"
"1422","Potraživanja za više plaćeni doprinos za zdravstveno osiguranje na plaće","Potraživanja za više plaćeni doprinos za zdravstveno osiguranje na plaće"
"1423","Potraživanja za više plaćeni dopr. za zdrav. osigur. za slučaj ozljede na radu i prof. bolesti","Potraživanja za više plaćeni dopr. za zdrav. osigur. za slučaj ozljede na radu i prof. bolesti"
"1424","Potraživanja za više plaćeni doprinos za zapošljavanje na plaće","Potraživanja za više plaćeni doprinos za zapošljavanje na plaće"
"1429","Potraživanja za ostale nespomenute doprinose","Potraživanja za ostale nespomenute doprinose"
"143","Potraživanja za porez na dobitak i po odbitku","Potraživanja za porez na dobitak i po odbitku"
"1430","Potraživanja za plaćene predujmove poreza na dobitak","Potraživanja za plaćene predujmove poreza na dobitak"
"1432","Potraživanja za više plaćeni porez po odbitku (na inozemne usluge)","Potraživanja za više plaćeni porez po odbitku (na inozemne usluge)"
"1433","Potraživanja za porez na dobitak stečen po ugovoru o cesiji ili iz preknjižavanja","Potraživanja za porez na dobitak stečen po ugovoru o cesiji ili iz preknjižavanja"
"1434","Porez na dobitak plaćen u inozemstvu","Porez na dobitak plaćen u inozemstvu"
"144","Potraživanja za posebne poreze (akcize - trošarine) i dr. poreze od države","Potraživanja za posebne poreze (akcize - trošarine) i dr. poreze od države"
"1440","Potraživanja za poseban porez na kavu","Potraživanja za poseban porez na kavu"
"1441","Potraživanja za poseban porez na bezalkoholna pića","Potraživanja za poseban porez na bezalkoholna pića"
"1442","Potraživanja za poseban porez na alkoholna pića","Potraživanja za poseban porez na alkoholna pića"
"1443","Potraživanja za poseban porez na pivo","Potraživanja za poseban porez na pivo"
"1444","Potraživanja za poseban porez na duhanske proizvode","Potraživanja za poseban porez na duhanske proizvode"
"1445","Potraživanja za poseban porez na naftne derivate i naknade za ceste","Potraživanja za poseban porez na naftne derivate i naknade za ceste"
"1446","Potraživanja za poseban porez na osobne automobile, motocikle, ostala mot. vozila, plovila i zrakop.","Potraživanja za poseban porez na osobne automobile, motocikle, ostala motorna vozila, plovila i zrakoplove"
"1447","Potraživanja za poseban porez na luksuzne proizvode","Potraživanja za poseban porez na luksuzne proizvode"
"1448","Potraživanja za porez na promet nekretnina","Potraživanja za porez na promet nekretnina"
"1449","Potraživanja za 5% poreza na promet motornih vozila i plovila","Potraživanja za 5% poreza na promet motornih vozila i plovila"
"145","Potraživanja za plaćenu članarinu turističkim zajed.","Potraživanja za plaćenu članarinu turističkim zajed."
"146","Potraživanja za članarine komori (HGK ili HOK)","Potraživanja za članarine komori (HGK ili HOK)"
"147","Potraživanja za carinu i više plaćene carinske pristojbe","Potraživanja za carinu i više plaćene carinske pristojbe"
"148","Potraživanja za županijski i općinski (gradski) porez","Potraživanja za županijski i općinski (gradski) porez"
"1480","Potraživanja za više plaćeni porez na motorna vozila i plovne objekte","Potraživanja za više plaćeni porez na motorna vozila i plovne objekte"
"1481","Potraživanja za porez na kuće za odmor i korištenje javnih površina","Potraživanja za porez na kuće za odmor i korištenje javnih površina"
"1482","Potraživanja za porez na reklamu","Potraživanja za porez na reklamu"
"1483","Potraživanja za porez na tvrtku ili naziv","Potraživanja za porez na tvrtku ili naziv"
"1484","Potraživanja za porez na potrošnju u ugostiteljstvu","Potraživanja za porez na potrošnju u ugostiteljstvu"
"1485","Potraživanja za plaćeni porez na priređivanje zabavnih i športskih priredbi","Potraživanja za plaćeni porez na priređivanje zabavnih i športskih priredbi"
"1486","Potraživanja za plaćeni porez na nasljedstva i darove","Potraživanja za plaćeni porez na nasljedstva i darove"
"1487","Potraživanja za više plaćeni porez na neiskorištene nekretnine","Potraživanja za više plaćeni porez na neiskorištene nekretnine"
"1489","Potraživanja za ostale poreze županije (grada), općine","Potraživanja za ostale poreze županije (grada), općine"
"149","Potraživanja za ostale nespomenute poreze, doprinose, takse i pristojbe","Potraživanja za ostale nespomenute poreze, doprinose, takse i pristojbe"
"1490","Potraživanja za više plaćenu nadoknadu za šume","Potraživanja za više plaćenu nadoknadu za šume"
"1491","Potraživanja za više plaćene kazne i sl.","Potraživanja za više plaćene kazne i sl."
"1492","Potraživanja za više uplaćene naknade za iskorištavanje mineralnih sirovina","Potraživanja za više uplaćene naknade za iskorištavanje mineralnih sirovina"
"1493","Potraživanja za više plaćene naknade za koncesije","Potraživanja za više plaćene naknade za koncesije"
"1495","Potraživanja za spomeničku rentu","Potraživanja za spomeničku rentu"
"1497","Potraživanje od Fonda za razvoj i sl.","Potraživanje od Fonda za razvoj i sl."
"1499","Potraživanja za ostala plaćena davanja državi i državnim institucijama","Potraživanja za ostala plaćena davanja državi i državnim institucijama"
"15","POTRAŽIVANJA OD DRŽAVNIH INSTITUCIJA","POTRAŽIVANJA OD DRŽAVNIH INSTITUCIJA"
"150","Potraživanje za nadoknade bolovanja od HZZO","Potraživanje za nadoknade bolovanja od HZZO"
"151","Potraživanja od mirovinskog osiguranja","Potraživanja od mirovinskog osiguranja"
"152","Potraživanja od lokalne samouprave","Potraživanja od lokalne samouprave"
"153","Potraživ. za regrese, premije, stimulac. i držav. potpore","Potraživ. za regrese, premije, stimulac. i držav. potpore"
"154","Potraživanje od Fonda za otkupljenu ambalažu","Potraživanje od Fonda za otkupljenu ambalažu"
"155","Ostala potraživanja od državnih institucija","Ostala potraživanja od državnih institucija"
"159","Vrijednosno usklađenje potraživanja od države i drugih institucija","Vrijednosno usklađenje potraživanja od države i drugih institucija"
"19","PLAĆENI TROŠKOVI BUDUĆEG RAZDOBLJA I OBRAČUNANI PRIHODI (unutar jedne godine od datuma bilance)","PLAĆENI TROŠKOVI BUDUĆEG RAZDOBLJA I OBRAČUNANI PRIHODI (unutar jedne godine od datuma bilance)"
"190","Unaprijed plaćeni troškovi","Unaprijed plaćeni troškovi"
"1900","Unaprijed plaćeni troškovi održavanja, opreme, postrojenja i građevina","Unaprijed plaćeni troškovi održavanja, opreme, postrojenja i građevina"
"1901","Unaprijed plaćena zakupnina iz operativnog - poslovnog najma","Unaprijed plaćena zakupnina iz operativnog - poslovnog najma"
"1902","Unaprijed plaćeni troškovi reklame, propagande i sajmova","Unaprijed plaćeni troškovi reklame, propagande i sajmova"
"1903","Unaprijed plaćeni troškovi energije za sljedeće razdoblje","Unaprijed plaćeni troškovi energije za sljedeće razdoblje"
"1904","Unaprijed plaćeni troškovi osig. imovine i osoba na opasnim poslovima ili putnika u prometu i sl.","Unaprijed plaćeni troškovi osiguranja imovine i osoba koje rade na opasnim poslovima ili putnika u prometu i sl."
"1905","Unaprijed plaćene kamate na bankovna jamstava i sl.","Unaprijed plaćene kamate na bankovna jamstava i sl."
"1906","Unaprijed plaćeni troškovi reprezentacije","Unaprijed plaćeni troškovi reprezentacije"
"1907","Unaprijed plaćene pretplate na službena glasila i stručne časopise","Unaprijed plaćene pretplate na službena glasila i stručne časopise"
"1908","Unaprijed isplaćene plaće za buduće razdoblje","Unaprijed isplaćene plaće za buduće razdoblje"
"1909","Unaprijed plaćeni ostali troškovi posl.(prijevoza, bank. usluge, zdr. zaštita,autorski,rad po ug. i sl)","Unaprijed plaćeni ostali troškovi poslovanja (troškovi prijevoza, bankovne usluge, zdravstvena zaštita, autorski honorari, rad po ugovoru i sl.)"
"191","Obračunani prihodi (budućeg razdoblja)","Obračunani prihodi (budućeg razdoblja)"
